Time(s),Actual_State_Of_Charge,Estimated_State_Of_Charge
5.28,0.972222,0.980338
5.29,0.972222,0.980316
5.30,0.972222,0.980263
5.31,0.972222,0.980981
5.32,0.972222,0.980742
5.33,0.972222,0.980684
5.34,0.972222,0.980056
5.35,0.972222,0.979845
5.36,0.972222,0.979727
5.37,0.972222,0.980173
5.38,0.972222,0.980217
5.39,0.972222,0.980854
5.40,0.972222,0.980686
5.41,0.972222,0.979993
5.42,0.972222,0.980260
5.43,0.972222,0.979795
5.44,0.972222,0.980249
5.45,0.972222,0.980048
5.46,0.972222,0.980290
5.47,0.972222,0.980331
5.48,0.972222,0.980726
5.49,0.972222,0.980090
5.50,0.972222,0.979583
5.51,0.972222,0.980250
5.52,0.972222,0.980647
5.53,0.972222,0.980787
5.54,0.972222,0.980681
5.55,0.972222,0.980878
5.56,0.972222,0.979963
5.57,0.972222,0.979122
5.58,0.972222,0.979050
5.59,0.972222,0.979332
5.60,0.972222,0.978562
5.61,0.972222,0.977874
5.62,0.972222,0.977181
5.63,0.972222,0.977426
5.64,0.972222,0.976696
5.65,0.972222,0.976636
5.66,0.972222,0.976539
5.67,0.972222,0.976967
5.68,0.972222,0.977097
5.69,0.972222,0.977765
5.70,0.972222,0.977384
5.71,0.972222,0.978285
5.72,0.972222,0.978599
5.73,0.972222,0.979073
5.74,0.972222,0.978865
5.75,0.972222,0.979326
5.76,0.972222,0.980260
5.77,0.972222,0.979789
5.78,0.972222,0.979639
5.79,0.972222,0.979730
5.80,0.972222,0.979039
5.81,0.972222,0.979293
5.82,0.972222,0.978937
5.83,0.972222,0.980057
5.84,0.972222,0.979727
5.85,0.972222,0.979031
5.86,0.972222,0.979722
5.87,0.972222,0.980411
5.88,0.972222,0.979294
5.89,0.972222,0.979393
5.90,0.972222,0.979180
5.91,0.972222,0.979040
5.92,0.972222,0.979116
5.93,0.972222,0.978772
5.94,0.972222,0.978884
5.95,0.972222,0.978000
5.96,0.972222,0.978055
5.97,0.972222,0.979006
5.98,0.972222,0.978658
5.99,0.972222,0.978947
6.00,0.972222,0.979428
6.01,0.972222,0.979446
6.02,0.972222,0.979668
6.03,0.972222,0.979380
6.04,0.972222,0.979743
6.05,0.972222,0.979149
6.06,0.972222,0.979351
6.07,0.972222,0.979247
6.08,0.972222,0.978494
6.09,0.972222,0.978284
6.10,0.972222,0.977895
6.11,0.972222,0.978485
6.12,0.972222,0.977798
6.13,0.972222,0.977580
6.14,0.972222,0.978236
6.15,0.972222,0.978500
6.16,0.972222,0.979219
6.17,0.972222,0.979075
6.18,0.972222,0.979253
6.19,0.972222,0.979142
6.20,0.972222,0.978426
6.21,0.972222,0.979011
6.22,0.972222,0.979222
6.23,0.972222,0.979709
6.24,0.972222,0.979620
6.25,0.972222,0.978817
6.26,0.972222,0.979031
6.27,0.972222,0.979227
6.28,0.972222,0.979468
6.29,0.972222,0.979826
6.30,0.972222,0.979029
6.31,0.972222,0.978313
6.32,0.972222,0.977723
6.33,0.972222,0.977389
6.34,0.972222,0.978137
6.35,0.972222,0.978224
6.36,0.972222,0.979379
6.37,0.972222,0.979160
6.38,0.972222,0.978531
6.39,0.972222,0.978672
6.40,0.972222,0.979791
6.41,0.972222,0.979362
6.42,0.972222,0.979535
6.43,0.972222,0.979478
6.44,0.972222,0.979584
6.45,0.972222,0.979672
6.46,0.972222,0.979650
6.47,0.972222,0.978471
6.48,0.972222,0.979136
6.49,0.972222,0.978344
6.50,0.972222,0.979317
6.51,0.972222,0.979759
6.52,0.972222,0.980436
6.53,0.972222,0.981080
6.54,0.972222,0.980607
6.55,0.972222,0.979923
6.56,0.972222,0.979453
6.57,0.972222,0.979966
6.58,0.972222,0.979186
6.59,0.972222,0.979872
6.60,0.972222,0.980018
6.61,0.972222,0.980785
6.62,0.972222,0.980987
6.63,0.972222,0.980985
6.64,0.972222,0.980982
6.65,0.972222,0.981805
6.66,0.972222,0.982353
6.67,0.972222,0.983131
6.68,0.972222,0.983933
6.69,0.972222,0.984184
6.70,0.972222,0.983749
6.71,0.972222,0.984072
6.72,0.972222,0.984513
6.73,0.972222,0.984379
6.74,0.972222,0.983190
6.75,0.972222,0.983074
6.76,0.972222,0.984160
6.77,0.972222,0.983650
6.78,0.972222,0.983223
6.79,0.972222,0.982236
6.80,0.972222,0.982004
6.81,0.972222,0.982754
6.82,0.972222,0.983795
6.83,0.972222,0.983576
6.84,0.972222,0.983491
6.85,0.972222,0.983483
6.86,0.972222,0.983631
6.87,0.972222,0.982922
6.88,0.972222,0.982781
6.89,0.972222,0.982809
6.90,0.972222,0.982956
6.91,0.972222,0.982937
6.92,0.972222,0.983076
6.93,0.972222,0.982990
6.94,0.972222,0.982621
6.95,0.972222,0.982449
6.96,0.972222,0.981616
6.97,0.972222,0.980579
6.98,0.972222,0.980866
6.99,0.972222,0.981165
7.00,0.972222,0.980666
7.01,0.972222,0.979581
7.02,0.972222,0.979151
7.03,0.972222,0.977937
7.04,0.972222,0.977903
7.05,0.972222,0.978076
7.06,0.972222,0.978757
7.07,0.972222,0.978694
7.08,0.972222,0.978600
7.09,0.972222,0.978723
7.10,0.972222,0.977909
7.11,0.972222,0.978461
7.12,0.972222,0.978900
7.13,0.972222,0.979815
7.14,0.972222,0.979189
7.15,0.972222,0.979256
7.16,0.972222,0.979526
7.17,0.972222,0.980071
7.18,0.972222,0.980739
7.19,0.972222,0.979624
7.20,0.972222,0.980052
7.21,0.972222,0.980305
7.22,0.972222,0.979779
7.23,0.972222,0.979334
7.24,0.972222,0.979104
7.25,0.972222,0.978503
7.26,0.972222,0.977576
7.27,0.972222,0.977097
7.28,0.972222,0.976854
7.29,0.972222,0.976487
7.30,0.972222,0.976326
7.31,0.972222,0.977441
7.32,0.972222,0.978739
7.33,0.972222,0.977898
7.34,0.972222,0.978613
